method	test	model	evaluation_metric	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	elmo	cos	template	sent	1e-05	1.1842033005295345
SEAT	C1_name_word	elmo	cos	template	word-average	1e-05	1.238534678863683
SEAT	C3_name_word	elmo	cos	template	sent	7e-05	0.373661831858307
SEAT	C3_name_word	elmo	cos	template	word-average	1e-05	0.5821065684904436
SEAT	C3_term_word	elmo	cos	template	sent	0.63456	-0.03450347166619039
SEAT	C3_term_word	elmo	cos	template	word-average	0.85409	-0.10787398012551949
SEAT	C6_name_word	elmo	cos	template	sent	1e-05	1.3765810411900907
SEAT	C6_name_word	elmo	cos	template	word-average	1e-05	1.4132282608877746
SEAT	C6_term_word	elmo	cos	template	sent	0.00015	0.5474506696667416
SEAT	C6_term_word	elmo	cos	template	word-average	0.00106	0.46129495106524493
SEAT	C9_name_m_word	elmo	cos	template	sent	0.93418	-0.20145095921359074
SEAT	C9_name_m_word	elmo	cos	template	word-average	0.5683	-0.022541916196825135
SEAT	C9_name_word	elmo	cos	template	sent	0.99111	-0.31492135694699525
SEAT	C9_name_word	elmo	cos	template	word-average	0.96145	-0.2356481458833787
SEAT	C9_term_word	elmo	cos	template	sent	0.0027	0.5540244803713866
SEAT	C9_term_word	elmo	cos	template	word-average	0.0001	0.7339223867292893
SEAT	Dis_term_m_word	elmo	cos	template	sent	3e-05	0.45824475744505094
SEAT	Dis_term_m_word	elmo	cos	template	word-average	1e-05	0.8630047960871698
SEAT	Dis_term_word	elmo	cos	template	sent	1e-05	0.4747285095875682
SEAT	Dis_term_word	elmo	cos	template	word-average	1e-05	0.8729561631938514
SEAT	I1_name_word	elmo	cos	template	sent	1e-05	0.811833930514674
SEAT	I1_name_word	elmo	cos	template	word-average	1e-05	0.633266062565664
SEAT	I1_term_word	elmo	cos	template	sent	0.0078	0.1922519626025669
SEAT	I1_term_word	elmo	cos	template	word-average	1e-05	0.447882148844009
SEAT	I2_name_word	elmo	cos	template	sent	1e-05	1.3345177384917783
SEAT	I2_name_word	elmo	cos	template	word-average	1e-05	1.0134368079750486
SEAT	I2_term_word	elmo	cos	template	sent	1e-05	1.1178848115685662
SEAT	I2_term_word	elmo	cos	template	word-average	1e-05	0.9216261838523461
SEAT	Occ_name_word	elmo	cos	template	sent	1e-05	1.3878211647955287
SEAT	Occ_name_word	elmo	cos	template	word-average	1e-05	1.2138519979437175
SEAT	Occ_term_word	elmo	cos	template	sent	1e-05	1.1709033667754711
SEAT	Occ_term_word	elmo	cos	template	word-average	1e-05	1.0837127716270878
