method	test	model	evaluation_metric	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	gpt2	cos	template	sent	1e-05	0.544308683361418
SEAT	C1_name_word	gpt2	cos	template	word-average	1e-05	0.7416122930099754
SEAT	C1_name_word	gpt2	cos	template	word-start	1e-05	0.49592832244033536
SEAT	C1_name_word	gpt2	cos	template	word-end	1e-05	0.472398025309369
SEAT	C3_name_word	gpt2	cos	template	sent	3e-05	0.3829635957052616
SEAT	C3_name_word	gpt2	cos	template	word-average	1e-05	1.2433764664212972
SEAT	C3_name_word	gpt2	cos	template	word-start	1e-05	1.0323125074218849
SEAT	C3_name_word	gpt2	cos	template	word-end	1e-05	0.7565685144832041
SEAT	C3_term_word	gpt2	cos	template	sent	0.12793	0.11474970305207083
SEAT	C3_term_word	gpt2	cos	template	word-average	3e-05	0.4281073396595942
SEAT	C3_term_word	gpt2	cos	template	word-start	0.00057	0.32535374763388697
SEAT	C3_term_word	gpt2	cos	template	word-end	1e-05	0.45442769258941845
SEAT	C6_name_word	gpt2	cos	template	sent	0.29529	0.10078538480213162
SEAT	C6_name_word	gpt2	cos	template	word-average	0.25907	0.12215619243208524
SEAT	C6_name_word	gpt2	cos	template	word-start	0.11886	0.22520076665388344
SEAT	C6_name_word	gpt2	cos	template	word-end	0.47988	0.009176209393793173
SEAT	C6_term_word	gpt2	cos	template	sent	0.94315	-0.24417636751798116
SEAT	C6_term_word	gpt2	cos	template	word-average	0.96532	-0.27537446325843595
SEAT	C6_term_word	gpt2	cos	template	word-start	0.89202	-0.1875789005423331
SEAT	C6_term_word	gpt2	cos	template	word-end	0.98691	-0.33747987091625953
SEAT	C9_name_m_word	gpt2	cos	template	sent	0.92831	-0.19515519376991888
SEAT	C9_name_m_word	gpt2	cos	template	word-average	0.92632	-0.19505151750499913
SEAT	C9_name_m_word	gpt2	cos	template	word-start	0.79002	-0.1080670657564729
SEAT	C9_name_m_word	gpt2	cos	template	word-end	0.92728	-0.19584406373566274
SEAT	C9_name_word	gpt2	cos	template	sent	0.91885	-0.18632324787506346
SEAT	C9_name_word	gpt2	cos	template	word-average	0.89644	-0.16953600946473196
SEAT	C9_name_word	gpt2	cos	template	word-start	0.76913	-0.09893573481153292
SEAT	C9_name_word	gpt2	cos	template	word-end	0.77674	-0.102865862145152
SEAT	C9_term_word	gpt2	cos	template	sent	0.99999	-0.8996790289320954
SEAT	C9_term_word	gpt2	cos	template	word-average	1.0	-0.8986072988340434
SEAT	C9_term_word	gpt2	cos	template	word-start	0.88894	-0.250692080461912
SEAT	C9_term_word	gpt2	cos	template	word-end	1.0	-1.0599475065309931
SEAT	Dis_term_m_word	gpt2	cos	template	sent	0.99655	-0.3011070668609264
SEAT	Dis_term_m_word	gpt2	cos	template	word-average	1e-05	0.7678759118970788
SEAT	Dis_term_m_word	gpt2	cos	template	word-start	1e-05	0.7539940650374798
SEAT	Dis_term_m_word	gpt2	cos	template	word-end	1.0	-0.742747444965937
SEAT	Dis_term_word	gpt2	cos	template	sent	0.99574	-0.2954046943567859
SEAT	Dis_term_word	gpt2	cos	template	word-average	1e-05	0.7718928221004536
SEAT	Dis_term_word	gpt2	cos	template	word-start	1e-05	0.7583231302605323
SEAT	Dis_term_word	gpt2	cos	template	word-end	1.0	-0.7304120437872534
SEAT	I1_name_word	gpt2	cos	template	sent	0.98335	-0.32866065788841686
SEAT	I1_name_word	gpt2	cos	template	word-average	0.99968	-0.5241031764396775
SEAT	I1_name_word	gpt2	cos	template	word-start	1e-05	0.8296787516871389
SEAT	I1_name_word	gpt2	cos	template	word-end	0.96398	-0.2776652114110718
SEAT	I1_term_word	gpt2	cos	template	sent	0.0008	0.2520312520931864
SEAT	I1_term_word	gpt2	cos	template	word-average	0.95701	-0.13671749783485382
SEAT	I1_term_word	gpt2	cos	template	word-start	0.98626	-0.1758278807788671
SEAT	I1_term_word	gpt2	cos	template	word-end	1e-05	0.5463140728824798
SEAT	I2_name_word	gpt2	cos	template	sent	0.97352	-0.2978319026038327
SEAT	I2_name_word	gpt2	cos	template	word-average	1.0	-0.8757916790485766
SEAT	I2_name_word	gpt2	cos	template	word-start	0.28198	0.08979510207223004
SEAT	I2_name_word	gpt2	cos	template	word-end	0.99975	-0.5362708636750941
SEAT	I2_term_word	gpt2	cos	template	sent	1.0	-0.7300648732847509
SEAT	I2_term_word	gpt2	cos	template	word-average	0.87118	-0.09015337925018596
SEAT	I2_term_word	gpt2	cos	template	word-start	0.85155	-0.08277054339952702
SEAT	I2_term_word	gpt2	cos	template	word-end	0.74076	-0.05143468075141179
SEAT	Occ_name_word	gpt2	cos	template	sent	0.30332	0.05436052047975793
SEAT	Occ_name_word	gpt2	cos	template	word-average	0.07109	0.15408732526544433
SEAT	Occ_name_word	gpt2	cos	template	word-start	0.73551	-0.06557786569127409
SEAT	Occ_name_word	gpt2	cos	template	word-end	0.00113	0.3158045744947299
SEAT	Occ_term_word	gpt2	cos	template	sent	0.00377	0.4012796675948703
SEAT	Occ_term_word	gpt2	cos	template	word-average	0.00129	0.45817356885808447
SEAT	Occ_term_word	gpt2	cos	template	word-start	0.00651	0.37666024081737415
SEAT	Occ_term_word	gpt2	cos	template	word-end	0.00066	0.480167081633837
