method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	C1_name_word	elmo	full	cos	template	word-average	0.0	0.9351985436164082	0.002555421480657783	0.3118185835384659	0.09602397697471148
CEAT	C3_name_word	elmo	full	cos	template	word-average	0.0	0.3237519297253299	0.002251032645066234	0.2634982595420996	0.06918106264404927
CEAT	C6_name_word	elmo	full	cos	template	word-average	0.0	0.6756821778870322	0.004597316768939842	0.5374507640788535	0.28846670268424446
CEAT	C9_term_word	elmo	full	cos	template	word-average	0.0	0.7284761016165515	0.0033471715976572617	0.32412215451037624	0.10506542226111147
CEAT	Dis_term_word	elmo	full	cos	template	word-average	0.0	0.8653622054943322	0.0010463156798485571	0.10436492557414648	0.010892145403091852
CEAT	Occ_name_word	elmo	full	cos	template	word-average	0.0	0.5730022171406809	0.003496054289513717	0.4117689720288111	0.1693247803623592
CEAT	I1_name_word	elmo	full	cos	template	word-average	0.0	0.6202603432753058	0.0031537027106188368	0.30482553342104773	0.09292518114153951
CEAT	I2_name_word	elmo	full	cos	template	word-average	0.0	0.9946223164796781	0.0025009368561467373	0.24145400756137517	0.058311203526008104
CEAT	C1_name_word	bert	full	cos	template	word-average	0.0	0.9718984198041594	0.0016569259024394605	0.1761852056253926	0.031024481397854704
CEAT	C3_name_word	bert	full	cos	template	word-average	0.0	0.5477156763081392	0.0031575406608839555	0.3466830583367628	0.12016682150507847
CEAT	C6_name_word	bert	full	cos	template	word-average	0.0	0.30670027494568247	0.003971578219301951	0.4173649112606409	0.17417180997225049
CEAT	C9_term_word	bert	full	cos	template	word-average	0.0	0.4332825643259797	0.0032894441476720216	0.3271180157452219	0.10701309034870603
CEAT	Dis_term_word	bert	full	cos	template	word-average	0.0	0.0822462227919326	0.0010950332539410848	0.10947263639007984	0.011984187605658805
CEAT	Occ_name_word	bert	full	cos	template	word-average	0.0	0.6595795871454191	0.0024625372348768887	0.27114661497851383	0.07349774791310228
CEAT	I1_name_word	bert	full	cos	template	word-average	0.0	1.4258041118862534	0.00176908239682554	0.15850487480995096	0.025143298469720025
CEAT	I2_name_word	bert	full	cos	template	word-average	0.0	1.342440126049569	0.0018918982311713912	0.17890207735203906	0.03204930973834377
CEAT	C1_name_word	gpt2	full	cos	template	word-average	0.0	0.48493966196268573	0.002829984046427262	0.2764847773881111	0.07644393182166236
CEAT	C3_name_word	gpt2	full	cos	template	word-average	0.0	0.5724209818609926	0.006940876319782888	0.7201267743583346	0.5185827132924314
CEAT	C6_name_word	gpt2	full	cos	template	word-average	3.3021991079570794e-305	0.1465059358588532	0.00392325764199363	0.34367079261372296	0.11811053858287465
CEAT	C9_term_word	gpt2	full	cos	template	word-average	0.0	-0.8739339488305492	0.003821208395827883	0.35492355086061567	0.1259719737121445
CEAT	Dis_term_word	gpt2	full	cos	template	word-average	0.0	0.7678712338644307	0.0012323281461594279	0.1199826955795395	0.014395882205936534
CEAT	Occ_name_word	gpt2	full	cos	template	word-average	0.0	0.22394829006721792	0.0032218835183490057	0.32644605798384185	0.10656710958660488
CEAT	I1_name_word	gpt2	full	cos	template	word-average	0.0	-0.5266814700137886	0.0035488851190178866	0.35885262521294825	0.1287751443870937
CEAT	I2_name_word	gpt2	full	cos	template	word-average	0.0	-0.8393653544597456	0.0036373123835102723	0.3694779844428387	0.1365138876945997
