method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
SEAT	C1_name_word	opt	full	cos	template	sent	1e-05	1.3695080615196087			
SEAT	C1_name_word	opt	full	cos	template	word-average	1e-05	1.2588209876661034			
SEAT	C1_name_word	opt	full	cos	template	word-start	1e-05	0.6358090201562473			
SEAT	C1_name_word	opt	full	cos	template	word-end	1e-05	1.44861595356179			
SEAT	C3_name_word	opt	full	cos	template	sent	0.97374	-0.18329756216959575			
SEAT	C3_name_word	opt	full	cos	template	word-average	0.98584	-0.2066644091142832			
SEAT	C3_name_word	opt	full	cos	template	word-start	0.05661	0.14988896612534824			
SEAT	C3_name_word	opt	full	cos	template	word-end	1.0	-0.477444149848838			
SEAT	C3_term_word	opt	full	cos	template	sent	0.5847	-0.02215169632378864			
SEAT	C3_term_word	opt	full	cos	template	word-average	0.50332	-0.0007083556383202423			
SEAT	C3_term_word	opt	full	cos	template	word-start	0.92116	-0.14345960638899213			
SEAT	C3_term_word	opt	full	cos	template	word-end	0.08558	0.13842710906716793			
SEAT	C6_name_word	opt	full	cos	template	sent	1e-05	1.2937819740620318			
SEAT	C6_name_word	opt	full	cos	template	word-average	1e-05	1.0008032844274206			
SEAT	C6_name_word	opt	full	cos	template	word-start	2e-05	0.8542571710450877			
SEAT	C6_name_word	opt	full	cos	template	word-end	1e-05	1.015705460281156			
SEAT	C6_term_word	opt	full	cos	template	sent	0.00441	0.39370107679868743			
SEAT	C6_term_word	opt	full	cos	template	word-average	0.03719	0.27293323630294875			
SEAT	C6_term_word	opt	full	cos	template	word-start	0.07402	0.22045290388605368			
SEAT	C6_term_word	opt	full	cos	template	word-end	0.04931	0.25474180975946453			
SEAT	C9_name_word	opt	full	cos	template	sent	0.00542	0.33788843698813525			
SEAT	C9_name_word	opt	full	cos	template	word-average	0.00541	0.34177647591844745			
SEAT	C9_name_word	opt	full	cos	template	word-start	0.54283	-0.01423891715710641			
SEAT	C9_name_word	opt	full	cos	template	word-end	0.01188	0.2998568138162138			
SEAT	C9_name_m_word	opt	full	cos	template	sent	0.01037	0.3062801320049747			
SEAT	C9_name_m_word	opt	full	cos	template	word-average	0.06073	0.2077396940948703			
SEAT	C9_name_m_word	opt	full	cos	template	word-start	0.77928	-0.10371306572852165			
SEAT	C9_name_m_word	opt	full	cos	template	word-end	0.01812	0.2774010332784712			
SEAT	C9_term_word	opt	full	cos	template	sent	1e-05	1.0025552413984151			
SEAT	C9_term_word	opt	full	cos	template	word-average	1e-05	1.0398647457854893			
SEAT	C9_term_word	opt	full	cos	template	word-start	0.01502	0.4432933945311332			
SEAT	C9_term_word	opt	full	cos	template	word-end	1e-05	1.4255693028236665			
SEAT	Dis_term_word	opt	full	cos	template	sent	0.67335	-0.05067312496890323			
SEAT	Dis_term_word	opt	full	cos	template	word-average	1e-05	0.5512775926161071			
SEAT	Dis_term_word	opt	full	cos	template	word-start	1e-05	0.7946747236606527			
SEAT	Dis_term_word	opt	full	cos	template	word-end	0.39246	0.030477653322699718			
SEAT	Dis_term_m_word	opt	full	cos	template	sent	0.68002	-0.0530676007404443			
SEAT	Dis_term_m_word	opt	full	cos	template	word-average	1e-05	0.5608449893897455			
SEAT	Dis_term_m_word	opt	full	cos	template	word-start	1e-05	0.8059791969876128			
SEAT	Dis_term_m_word	opt	full	cos	template	word-end	0.39609	0.028458310485853205			
SEAT	Occ_name_word	opt	full	cos	template	sent	1e-05	1.2876469649829472			
SEAT	Occ_name_word	opt	full	cos	template	word-average	1e-05	0.880697019617449			
SEAT	Occ_name_word	opt	full	cos	template	word-start	0.10274	0.13292458436525903			
SEAT	Occ_name_word	opt	full	cos	template	word-end	1e-05	1.2322884266259444			
SEAT	Occ_term_word	opt	full	cos	template	sent	1e-05	1.2903657594485822			
SEAT	Occ_term_word	opt	full	cos	template	word-average	1e-05	1.2101389154188003			
SEAT	Occ_term_word	opt	full	cos	template	word-start	1e-05	0.8107181526420247			
SEAT	Occ_term_word	opt	full	cos	template	word-end	1e-05	1.3449898024851477			
SEAT	I1_name_word	opt	full	cos	template	sent	0.00014	0.5568674403176078			
SEAT	I1_name_word	opt	full	cos	template	word-average	1e-05	1.1553410314892318			
SEAT	I1_name_word	opt	full	cos	template	word-start	1e-05	1.5532142031743417			
SEAT	I1_name_word	opt	full	cos	template	word-end	0.00022	0.532892342792684			
SEAT	I1_term_word	opt	full	cos	template	sent	1.0	-0.5752404086040842			
SEAT	I1_term_word	opt	full	cos	template	word-average	0.18685	0.07074205634867986			
SEAT	I1_term_word	opt	full	cos	template	word-start	1e-05	0.4546735942079455			
SEAT	I1_term_word	opt	full	cos	template	word-end	1.0	-0.4137603584138753			
SEAT	I2_name_word	opt	full	cos	template	sent	1e-05	0.9441686264667656			
SEAT	I2_name_word	opt	full	cos	template	word-average	1e-05	1.0646579385367818			
SEAT	I2_name_word	opt	full	cos	template	word-start	1e-05	1.0219288889370155			
SEAT	I2_name_word	opt	full	cos	template	word-end	1e-05	1.0322145968407965			
SEAT	I2_term_word	opt	full	cos	template	sent	0.99991	-0.30423660729573354			
SEAT	I2_term_word	opt	full	cos	template	word-average	0.03166	0.14777097172506226			
SEAT	I2_term_word	opt	full	cos	template	word-start	1e-05	0.666897251229775			
SEAT	I2_term_word	opt	full	cos	template	word-end	0.99918	-0.2528459237185314			
