method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	C1_name_word	opt	full	cos	template	sent	0.0	1.006131388053082	0.0023741484307547183	0.25797849063062106	0.06628449732241248
CEAT	C1_name_word	opt	full	cos	template	word-average	0.0	1.147497938145169	0.00144431992379062	0.14804492377990028	0.021879494409002536
CEAT	C1_name_word	opt	full	cos	template	word-start	0.0	0.5301546809427914	0.0026140789033773336	0.292480849671674	0.08533981262628343
CEAT	C1_name_word	opt	full	cos	template	word-end	0.0	1.3628826581811426	0.001209597058747194	0.13087956698436756	0.016907846836402472
CEAT	C3_name_word	opt	full	cos	template	sent	0.0	-0.1259132522064765	0.0025158720607690184	0.2553193614224408	0.06517690917064009
CEAT	C3_name_word	opt	full	cos	template	word-average	0.0	-0.20538191000269285	0.004232437708740502	0.4613297253801932	0.21277628168297588
CEAT	C3_name_word	opt	full	cos	template	word-start	2.0727311192781542e-11	-0.04315490332413047	0.0064402556234002565	0.7658188564529897	0.586318898947373
CEAT	C3_name_word	opt	full	cos	template	word-end	0.0	-0.4416724534137498	0.0020341130875326826	0.20702308643426506	0.04285120245913055
CEAT	C3_term_word	opt	full	cos	template	sent	4.342558704101639e-07	-0.011995118179363357	0.0023737228530477813	0.2312365000507569	0.05347142764668132
CEAT	C3_term_word	opt	full	cos	template	word-average	6.718510081304362e-52	-0.038996548104881866	0.0025726883446090887	0.26962447519909544	0.07266874226179605
CEAT	C3_term_word	opt	full	cos	template	word-start	0.0	-0.16038031892044344	0.0030555566029282534	0.3281698488904082	0.10764236332072306
CEAT	C3_term_word	opt	full	cos	template	word-end	0.0	0.1115668091346888	0.002081444670557917	0.21079465668366665	0.04442657514586871
CEAT	C6_name_word	opt	full	cos	template	sent	0.0	0.5329672713206236	0.004779947163634736	0.4991790046767377	0.24907861403583414
CEAT	C6_name_word	opt	full	cos	template	word-average	0.0	0.8376313406549282	0.002500810153162557	0.25623801586131983	0.06563572935818537
CEAT	C6_name_word	opt	full	cos	template	word-start	0.0	0.6744471412931654	0.003259340903049135	0.3441582856001614	0.1183872116403618
CEAT	C6_name_word	opt	full	cos	template	word-end	0.0	0.8804084525212177	0.002336824380809024	0.23859913137648228	0.05690807000779439
CEAT	C6_term_word	opt	full	cos	template	sent	0.0	0.254130481405707	0.0031982373385133264	0.33074327641350365	0.10921974590842
CEAT	C6_term_word	opt	full	cos	template	word-average	0.0	0.25502145579923885	0.0018244008430546735	0.18778944585599633	0.03513728946927841
CEAT	C6_term_word	opt	full	cos	template	word-start	0.0	0.19839667923836837	0.0021478498145441876	0.220536647098701	0.04851034153370647
