method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
SEAT	C1_name_word	bloom	full	cos	template	sent	1e-05	0.6840608300462646			
SEAT	C1_name_word	bloom	full	cos	template	word-average	0.01546	0.16196777794640377			
SEAT	C1_name_word	bloom	full	cos	template	word-start	0.83873	-0.07621654563389384			
SEAT	C1_name_word	bloom	full	cos	template	word-end	0.00875	0.18066253963894613			
SEAT	C3_name_word	bloom	full	cos	template	sent	0.99919	-0.29117261201107897			
SEAT	C3_name_word	bloom	full	cos	template	word-average	0.00398	0.2526246265122037			
SEAT	C3_name_word	bloom	full	cos	template	word-start	0.00061	0.3022742246787572			
SEAT	C3_name_word	bloom	full	cos	template	word-end	0.0002	0.332487246445331			
SEAT	C3_term_word	bloom	full	cos	template	sent	0.92679	-0.146929581104436			
SEAT	C3_term_word	bloom	full	cos	template	word-average	0.65621	-0.04110332272304756			
SEAT	C3_term_word	bloom	full	cos	template	word-start	0.70955	-0.05617997838509339			
SEAT	C3_term_word	bloom	full	cos	template	word-end	0.33582	0.04286207474339608			
SEAT	C6_name_word	bloom	full	cos	template	sent	0.31009	0.09428165648388431			
SEAT	C6_name_word	bloom	full	cos	template	word-average	0.53888	-0.018255481994701696			
SEAT	C6_name_word	bloom	full	cos	template	word-start	0.37083	0.06284995633243963			
SEAT	C6_name_word	bloom	full	cos	template	word-end	0.59739	-0.04665878161263756			
SEAT	C6_term_word	bloom	full	cos	template	sent	0.63908	-0.054806088550244186			
SEAT	C6_term_word	bloom	full	cos	template	word-average	0.40413	0.03704261090785697			
SEAT	C6_term_word	bloom	full	cos	template	word-start	0.62134	-0.04739535073681823			
SEAT	C6_term_word	bloom	full	cos	template	word-end	0.30825	0.07670344847207973			
SEAT	C9_name_word	bloom	full	cos	template	sent	0.00142	0.39474990317522685			
SEAT	C9_name_word	bloom	full	cos	template	word-average	0.08187	0.18537353315755112			
SEAT	C9_name_word	bloom	full	cos	template	word-start	0.17524	0.12549234238176818			
SEAT	C9_name_word	bloom	full	cos	template	word-end	0.14418	0.1413725362540073			
SEAT	C9_name_m_word	bloom	full	cos	template	sent	0.00012	0.4920987912688399			
SEAT	C9_name_m_word	bloom	full	cos	template	word-average	0.08077	0.1870711521028803			
SEAT	C9_name_m_word	bloom	full	cos	template	word-start	0.18748	0.11847374033284529			
SEAT	C9_name_m_word	bloom	full	cos	template	word-end	0.02115	0.2704219557778618			
SEAT	C9_term_word	bloom	full	cos	template	sent	0.00023	0.717675223936853			
SEAT	C9_term_word	bloom	full	cos	template	word-average	0.06658	0.3061304950487338			
SEAT	C9_term_word	bloom	full	cos	template	word-start	0.00965	0.47605926771334484			
SEAT	C9_term_word	bloom	full	cos	template	word-end	8e-05	0.7663524549715597			
SEAT	Occ_name_word	bloom	full	cos	template	sent	0.99738	-0.2887423996325038			
SEAT	Occ_name_word	bloom	full	cos	template	word-average	0.81475	-0.09356613227896998			
SEAT	Occ_name_word	bloom	full	cos	template	word-start	0.50082	0.00012824793042823113			
SEAT	Occ_name_word	bloom	full	cos	template	word-end	0.97671	-0.20645578330367786			
SEAT	Occ_term_word	bloom	full	cos	template	sent	0.11259	0.18358337338097416			
SEAT	Occ_term_word	bloom	full	cos	template	word-average	0.3982	0.03924554239455485			
SEAT	Occ_term_word	bloom	full	cos	template	word-start	0.54037	-0.016335898008258447			
SEAT	Occ_term_word	bloom	full	cos	template	word-end	0.19542	0.13285547228081174			
SEAT	Dis_term_word	bloom	full	cos	template	sent	0.42769	0.020541435637034203			
SEAT	Dis_term_word	bloom	full	cos	template	word-average	1e-05	0.5033407525239868			
SEAT	Dis_term_word	bloom	full	cos	template	word-start	1e-05	0.5855822210609207			
SEAT	Dis_term_word	bloom	full	cos	template	word-end	1.0	-0.6361446891119718			
SEAT	Dis_term_m_word	bloom	full	cos	template	sent	0.42688	0.020860161861769713			
SEAT	Dis_term_m_word	bloom	full	cos	template	word-average	2e-05	0.4998013891882491			
SEAT	Dis_term_m_word	bloom	full	cos	template	word-start	1e-05	0.5837480275776294			
SEAT	Dis_term_m_word	bloom	full	cos	template	word-end	1.0	-0.642385466391956			
SEAT	I1_name_word	bloom	full	cos	template	sent	1e-05	0.98295492562982			
SEAT	I1_name_word	bloom	full	cos	template	word-average	2e-05	0.6429383448703373			
SEAT	I1_name_word	bloom	full	cos	template	word-start	1e-05	1.471696540844915			
SEAT	I1_name_word	bloom	full	cos	template	word-end	0.63137	-0.0526053433979057			
SEAT	I1_term_word	bloom	full	cos	template	sent	0.97441	-0.155018954060653			
SEAT	I1_term_word	bloom	full	cos	template	word-average	1e-05	0.5514599916942614			
SEAT	I1_term_word	bloom	full	cos	template	word-start	1e-05	0.6832884327750991			
SEAT	I1_term_word	bloom	full	cos	template	word-end	0.00031	0.2651102398708076			
SEAT	I2_name_word	bloom	full	cos	template	sent	1e-05	0.9756067231941985			
SEAT	I2_name_word	bloom	full	cos	template	word-average	0.00384	0.40854813566023035			
SEAT	I2_name_word	bloom	full	cos	template	word-start	1e-05	1.1055499289205701			
SEAT	I2_name_word	bloom	full	cos	template	word-end	0.91958	-0.21640281392052557			
SEAT	I2_term_word	bloom	full	cos	template	sent	0.31814	0.037422899206337276			
SEAT	I2_term_word	bloom	full	cos	template	word-average	1e-05	0.4069132601650043			
SEAT	I2_term_word	bloom	full	cos	template	word-start	1e-05	0.7707734425490542			
SEAT	I2_term_word	bloom	full	cos	template	word-end	0.00083	0.2511842976853239			
