method	test	model	evaluation_metric	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	elmo	cosine	template	sent	1e-05	1.1842033005295345
SEAT	C1_name_word	elmo	cosine	template	word-average	1e-05	1.238534678863683
SEAT	C3_name_word	elmo	cosine	template	sent	7e-05	0.373661831858307
SEAT	C3_name_word	elmo	cosine	template	word-average	1e-05	0.5821065684904436
SEAT	C3_term_word	elmo	cosine	template	sent	0.63456	-0.03450347166619039
SEAT	C3_term_word	elmo	cosine	template	word-average	0.85409	-0.10787398012551949
SEAT	C6_name_word	elmo	cosine	template	sent	1e-05	1.3765810411900907
SEAT	C6_name_word	elmo	cosine	template	word-average	1e-05	1.4132282608877746
SEAT	C6_term_word	elmo	cosine	template	sent	0.00015	0.5474506696667416
SEAT	C6_term_word	elmo	cosine	template	word-average	0.00106	0.46129495106524493
SEAT	C9_name_word	elmo	cosine	template	sent	0.99073	-0.3149355573449048
SEAT	C9_name_word	elmo	cosine	template	word-average	0.96181	-0.23564798566982675
SEAT	C9_term_word	elmo	cosine	template	sent	0.00321	0.5540245010289692
SEAT	C9_term_word	elmo	cosine	template	word-average	0.00018	0.7339223133800573
SEAT	C9m_name_word	elmo	cosine	template	sent	0.93449	-0.20167091570579312
SEAT	C9m_name_word	elmo	cosine	template	word-average	0.56678	-0.022542007968858087
SEAT	Dis_term_word	elmo	cosine	template	sent	1e-05	0.4913057256076442
SEAT	Dis_term_word	elmo	cosine	template	word-average	1e-05	0.9040776662282926
SEAT	Dism_term_word	elmo	cosine	template	sent	2e-05	0.4749660534042533
SEAT	Dism_term_word	elmo	cosine	template	word-average	1e-05	0.8947373970952476
SEAT	EIBD_name_word	elmo	cosine	template	sent	1e-05	1.3345364309369592
SEAT	EIBD_name_word	elmo	cosine	template	word-average	1e-05	1.0134367522374215
SEAT	EIBD_term_word	elmo	cosine	template	sent	1e-05	1.1178846536120024
SEAT	EIBD_term_word	elmo	cosine	template	word-average	1e-05	0.9216261154514899
SEAT	IBD_name_word	elmo	cosine	template	sent	1e-05	0.8119563418049639
SEAT	IBD_name_word	elmo	cosine	template	word-average	1e-05	0.6332660619251612
SEAT	IBD_term_word	elmo	cosine	template	sent	0.00794	0.19225189743037963
SEAT	IBD_term_word	elmo	cosine	template	word-average	1e-05	0.44788223537967686
SEAT	Occ_name_word	elmo	cosine	template	sent	1e-05	1.3878659679351395
SEAT	Occ_name_word	elmo	cosine	template	word-average	1e-05	1.2138519233601002
SEAT	Occ_term_word	elmo	cosine	template	sent	1e-05	1.1709032609148222
SEAT	Occ_term_word	elmo	cosine	template	word-average	1e-05	1.0837127877753512
