method;test;model;evaluation_metric;context;encoding_level;p_value;effect_size
SEAT;C1_name_word;bert;cosine;template;sent;1E-05;0.9333550825393431
SEAT;C1_name_word;bert;cosine;template;word-average;1E-05;1.0769568354141295
SEAT;C1_name_word;bert;cosine;template;word-start;1E-05;0.8807694845555718
SEAT;C1_name_word;bert;cosine;template;word-end;1E-05;0.9350451006863358
SEAT;C3_name_word;bert;cosine;template;sent;1E-05;0.683050777471685
SEAT;C3_name_word;bert;cosine;template;word-average;1E-05;0.8144343109533263
SEAT;C3_name_word;bert;cosine;template;word-start;1E-05;0.9216243078054637
SEAT;C3_name_word;bert;cosine;template;word-end;1E-05;0.7608534779177869
SEAT;C3_term_word;bert;cosine;template;sent;0.81139;-0.08970522546789579
SEAT;C3_term_word;bert;cosine;template;word-average;0.99998;-0.4484612528048833
SEAT;C3_term_word;bert;cosine;template;word-start;0.99999;-0.41642696555336156
SEAT;C3_term_word;bert;cosine;template;word-end;1.0;-0.4936034412131383
SEAT;C6_name_word;bert;cosine;template;sent;1E-05;1.0545444567134725
SEAT;C6_name_word;bert;cosine;template;word-average;0.00555;0.47476379372491145
SEAT;C6_name_word;bert;cosine;template;word-start;0.00629;0.463278643824898
SEAT;C6_name_word;bert;cosine;template;word-end;0.00509;0.48010167380288327
SEAT;C6_term_word;bert;cosine;template;sent;0.11753;0.18092874038848458
SEAT;C6_term_word;bert;cosine;template;word-average;0.12009;0.17978260054817627
SEAT;C6_term_word;bert;cosine;template;word-start;0.13029;0.17163413886121265
SEAT;C6_term_word;bert;cosine;template;word-end;0.1124;0.186603629897452
SEAT;C9_name_word;bert;cosine;template;sent;0.00024;0.45925427800145224
SEAT;C9_name_word;bert;cosine;template;word-average;0.79043;-0.10868486914851307
SEAT;C9_name_word;bert;cosine;template;word-start;0.57107;-0.0249549256669199
SEAT;C9_name_word;bert;cosine;template;word-end;0.25084;0.0892053732712108
SEAT;C9_term_word;bert;cosine;template;sent;0.62183;-0.0647639312408027
SEAT;C9_term_word;bert;cosine;template;word-average;0.01144;0.4616517364273898
SEAT;C9_term_word;bert;cosine;template;word-start;0.10705;0.25518108389737293
SEAT;C9_term_word;bert;cosine;template;word-end;0.0246;0.3992825007963509
SEAT;C9m_name_word;bert;cosine;template;sent;1E-05;0.7245750907146699
SEAT;C9m_name_word;bert;cosine;template;word-average;0.82803;-0.12643933113714514
SEAT;C9m_name_word;bert;cosine;template;word-start;0.51715;-0.004508393008221987
SEAT;C9m_name_word;bert;cosine;template;word-end;0.68139;-0.0639642546310414
SEAT;Dis_term_word;bert;cosine;template;sent;0.00966;0.25992043493740175
SEAT;Dis_term_word;bert;cosine;template;word-average;0.23587;0.08111357969672398
SEAT;Dis_term_word;bert;cosine;template;word-start;0.53793;-0.010586129947032348
SEAT;Dis_term_word;bert;cosine;template;word-end;0.41222;0.02497576771666038
SEAT;Dism_term_word;bert;cosine;template;sent;0.00788;0.2670303204423686
SEAT;Dism_term_word;bert;cosine;template;word-average;0.20179;0.09403231196205337
SEAT;Dism_term_word;bert;cosine;template;word-start;0.51893;-0.004782459350198462
SEAT;Dism_term_word;bert;cosine;template;word-end;0.31906;0.05179660994906708
SEAT;EIBD_name_word;bert;cosine;template;sent;0.99983;-0.5394972740573377
SEAT;EIBD_name_word;bert;cosine;template;word-average;1E-05;1.3818150456172258
SEAT;EIBD_name_word;bert;cosine;template;word-start;1E-05;1.3875285473890613
SEAT;EIBD_name_word;bert;cosine;template;word-end;1E-05;1.663304047264487
SEAT;EIBD_term_word;bert;cosine;template;sent;0.90476;-0.10464848465786171
SEAT;EIBD_term_word;bert;cosine;template;word-average;1E-05;0.8300965955134424
SEAT;EIBD_term_word;bert;cosine;template;word-start;1E-05;0.8184027980403472
SEAT;EIBD_term_word;bert;cosine;template;word-end;1E-05;0.6618291186628424
SEAT;IBD_name_word;bert;cosine;template;sent;0.99971;-0.5317343937459084
SEAT;IBD_name_word;bert;cosine;template;word-average;1E-05;1.486160879932142
SEAT;IBD_name_word;bert;cosine;template;word-start;1E-05;1.3632723180084576
SEAT;IBD_name_word;bert;cosine;template;word-end;0.28461;0.08865225283689261
SEAT;IBD_term_word;bert;cosine;template;sent;1.0;-0.4397655501040179
SEAT;IBD_term_word;bert;cosine;template;word-average;1E-05;0.8180268413077534
SEAT;IBD_term_word;bert;cosine;template;word-start;1E-05;0.896671904857813
SEAT;IBD_term_word;bert;cosine;template;word-end;0.99999;-0.36485567100305555
SEAT;Occ_name_word;bert;cosine;template;sent;2E-05;0.4761995556789015
SEAT;Occ_name_word;bert;cosine;template;word-average;1E-05;1.0276977153998943
SEAT;Occ_name_word;bert;cosine;template;word-start;1E-05;0.9730972838699985
SEAT;Occ_name_word;bert;cosine;template;word-end;1E-05;1.109931304111365
SEAT;Occ_term_word;bert;cosine;template;sent;1E-05;0.7590173131294667
SEAT;Occ_term_word;bert;cosine;template;word-average;1E-05;0.9760848744693295
SEAT;Occ_term_word;bert;cosine;template;word-start;1E-05;1.1128092851633176
SEAT;Occ_term_word;bert;cosine;template;word-end;1E-05;0.8568266885917225
