method;test;model;evaluation_metric;context;encoding_level;p_value;effect_size
SEAT;C1_name_word;gpt2;cosine;template;sent;1E-05;0.544308683361418
SEAT;C1_name_word;gpt2;cosine;template;word-average;1E-05;0.7416122930099754
SEAT;C1_name_word;gpt2;cosine;template;word-start;1E-05;0.49592832244033536
SEAT;C1_name_word;gpt2;cosine;template;word-end;1E-05;0.472398025309369
SEAT;C3_name_word;gpt2;cosine;template;sent;3E-05;0.3829635957052616
SEAT;C3_name_word;gpt2;cosine;template;word-average;1E-05;1.2433764664212972
SEAT;C3_name_word;gpt2;cosine;template;word-start;1E-05;1.0323125074218849
SEAT;C3_name_word;gpt2;cosine;template;word-end;1E-05;0.7565685144832041
SEAT;C3_term_word;gpt2;cosine;template;sent;0.12793;0.11474970305207083
SEAT;C3_term_word;gpt2;cosine;template;word-average;3E-05;0.4281073396595942
SEAT;C3_term_word;gpt2;cosine;template;word-start;0.00057;0.32535374763388697
SEAT;C3_term_word;gpt2;cosine;template;word-end;1E-05;0.45442769258941845
SEAT;C6_name_word;gpt2;cosine;template;sent;0.29529;0.10078538480213162
SEAT;C6_name_word;gpt2;cosine;template;word-average;0.25907;0.12215619243208524
SEAT;C6_name_word;gpt2;cosine;template;word-start;0.11886;0.22520076665388344
SEAT;C6_name_word;gpt2;cosine;template;word-end;0.47988;0.009176209393793173
SEAT;C6_term_word;gpt2;cosine;template;sent;0.94315;-0.24417636751798116
SEAT;C6_term_word;gpt2;cosine;template;word-average;0.96532;-0.27537446325843595
SEAT;C6_term_word;gpt2;cosine;template;word-start;0.89202;-0.1875789005423331
SEAT;C6_term_word;gpt2;cosine;template;word-end;0.98691;-0.33747987091625953
SEAT;C9_name_word;gpt2;cosine;template;sent;0.91927;-0.18632324787506346
SEAT;C9_name_word;gpt2;cosine;template;word-average;0.89617;-0.16953600946473196
SEAT;C9_name_word;gpt2;cosine;template;word-start;0.76969;-0.09893573481153292
SEAT;C9_name_word;gpt2;cosine;template;word-end;0.77802;-0.102865862145152
SEAT;C9_term_word;gpt2;cosine;template;sent;1.0;-0.8996790289320954
SEAT;C9_term_word;gpt2;cosine;template;word-average;1.0;-0.8986072988340434
SEAT;C9_term_word;gpt2;cosine;template;word-start;0.89035;-0.250692080461912
SEAT;C9_term_word;gpt2;cosine;template;word-end;1.0;-1.0599475065309931
SEAT;C9m_name_word;gpt2;cosine;template;sent;0.92776;-0.19515519376991888
SEAT;C9m_name_word;gpt2;cosine;template;word-average;0.92821;-0.19505151750499913
SEAT;C9m_name_word;gpt2;cosine;template;word-start;0.79183;-0.1080670657564729
SEAT;C9m_name_word;gpt2;cosine;template;word-end;0.92731;-0.19584406373566274
SEAT;Dis_term_word;gpt2;cosine;template;sent;0.99595;-0.2954046943567859
SEAT;Dis_term_word;gpt2;cosine;template;word-average;1E-05;0.7718928221004536
SEAT;Dis_term_word;gpt2;cosine;template;word-start;1E-05;0.7583231302605323
SEAT;Dis_term_word;gpt2;cosine;template;word-end;1.0;-0.7304120437872534
SEAT;Dism_term_word;gpt2;cosine;template;sent;0.99689;-0.3011070668609264
SEAT;Dism_term_word;gpt2;cosine;template;word-average;1E-05;0.7678759118970788
SEAT;Dism_term_word;gpt2;cosine;template;word-start;1E-05;0.7539940650374798
SEAT;Dism_term_word;gpt2;cosine;template;word-end;1.0;-0.742747444965937
SEAT;EIBD_name_word;gpt2;cosine;template;sent;0.97429;-0.2978319026038327
SEAT;EIBD_name_word;gpt2;cosine;template;word-average;1.0;-0.8757916790485766
SEAT;EIBD_name_word;gpt2;cosine;template;word-start;0.28135;0.08979510207223004
SEAT;EIBD_name_word;gpt2;cosine;template;word-end;0.99981;-0.5362708636750941
SEAT;EIBD_term_word;gpt2;cosine;template;sent;1.0;-0.7300648732847509
SEAT;EIBD_term_word;gpt2;cosine;template;word-average;0.87013;-0.09015337925018596
SEAT;EIBD_term_word;gpt2;cosine;template;word-start;0.84985;-0.08277054339952702
SEAT;EIBD_term_word;gpt2;cosine;template;word-end;0.74301;-0.05143468075141179
SEAT;IBD_name_word;gpt2;cosine;template;sent;0.98332;-0.32866065788841686
SEAT;IBD_name_word;gpt2;cosine;template;word-average;0.99982;-0.5241031764396775
SEAT;IBD_name_word;gpt2;cosine;template;word-start;1E-05;0.8296787516871389
SEAT;IBD_name_word;gpt2;cosine;template;word-end;0.96424;-0.2776652114110718
SEAT;IBD_term_word;gpt2;cosine;template;sent;0.00076;0.2520312520931864
SEAT;IBD_term_word;gpt2;cosine;template;word-average;0.95639;-0.13671749783485382
SEAT;IBD_term_word;gpt2;cosine;template;word-start;0.98672;-0.1758278807788671
SEAT;IBD_term_word;gpt2;cosine;template;word-end;1E-05;0.5463140728824798
SEAT;Occ_name_word;gpt2;cosine;template;sent;0.30359;0.05436052047975793
SEAT;Occ_name_word;gpt2;cosine;template;word-average;0.07237;0.15408732526544433
SEAT;Occ_name_word;gpt2;cosine;template;word-start;0.73322;-0.06557786569127409
SEAT;Occ_name_word;gpt2;cosine;template;word-end;0.00101;0.3158045744947299
SEAT;Occ_term_word;gpt2;cosine;template;sent;0.00379;0.4012796675948703
SEAT;Occ_term_word;gpt2;cosine;template;word-average;0.00124;0.45817356885808447
SEAT;Occ_term_word;gpt2;cosine;template;word-start;0.0068;0.37666024081737415
SEAT;Occ_term_word;gpt2;cosine;template;word-end;0.00075;0.480167081633837
