method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cosine	template	word-average	0.0	0.9351985436164082
CEAT	C3_name_word	elmo	cosine	template	word-average	0.0	0.3236774116506536
CEAT	C6_name_word	elmo	cosine	template	word-average	0.0	0.6763157897144023
CEAT	C9_term_word	elmo	cosine	template	word-average	0.0	0.7274715861888257
CEAT	Dis_term_word	elmo	cosine	template	word-average	0.0	0.8656654392268173
CEAT	Occ_name_word	elmo	cosine	template	word-average	0.0	0.5731336735350144
CEAT	IBD_name_word	elmo	cosine	template	word-average	0.0	0.620254404724568
CEAT	EIBD_name_word	elmo	cosine	template	word-average	0.0	0.9948296490695179
CEAT	C1_name_word	bert	cosine	template	word-average	0.0	0.9718984198041594
CEAT	C3_name_word	bert	cosine	template	word-average	0.0	0.5477156763081392
CEAT	C6_name_word	bert	cosine	template	word-average	0.0	0.30670027494568247
CEAT	C9_term_word	bert	cosine	template	word-average	0.0	0.4332825643259797
CEAT	Dis_term_word	bert	cosine	template	word-average	0.0	0.0822462227919326
CEAT	Occ_name_word	bert	cosine	template	word-average	0.0	0.6595795871454191
CEAT	IBD_name_word	bert	cosine	template	word-average	0.0	1.4258041118862534
CEAT	EIBD_name_word	bert	cosine	template	word-average	0.0	1.342440126049569
CEAT	C1_name_word	gpt2	cosine	template	word-average	0.0	0.48493966196268573
CEAT	C3_name_word	gpt2	cosine	template	word-average	0.0	0.5724209818609926
CEAT	C6_name_word	gpt2	cosine	template	word-average	1.6510995539785397e-305	0.1465059358588532
CEAT	C9_term_word	gpt2	cosine	template	word-average	1.0	-0.8739339488305492
CEAT	Dis_term_word	gpt2	cosine	template	word-average	0.0	0.7678712338644307
CEAT	Occ_name_word	gpt2	cosine	template	word-average	0.0	0.22394829006721792
CEAT	IBD_name_word	gpt2	cosine	template	word-average	1.0	-0.5266814700137886
CEAT	EIBD_name_word	gpt2	cosine	template	word-average	1.0	-0.8393653544597456
