method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	elmo	cosine	template	sent	1e-05	1.0807720795957267
SEAT	C1_name_word	elmo	cosine	template	word-average	1e-05	0.9206942020258445
SEAT	C3_name_word	elmo	cosine	template	sent	0.00198	0.48348812867922747
SEAT	C3_name_word	elmo	cosine	template	word-average	2e-05	0.7074874480980864
SEAT	C9_name_word	elmo	cosine	template	sent	0.97779	-0.40941010694260066
SEAT	C9_name_word	elmo	cosine	template	word-average	0.99785	-0.5762844912161779
SEAT	C9m_name_word	elmo	cosine	template	sent	0.87888	-0.24108426964275897
SEAT	C9m_name_word	elmo	cosine	template	word-average	0.79547	-0.17041438125257632
SEAT	C9_term_word	elmo	cosine	template	sent	0.14791	0.26287307781103736
SEAT	C9_term_word	elmo	cosine	template	word-average	0.03109	0.4645294023663708
SEAT	Occ_name_word	elmo	cosine	template	sent	1e-05	0.6595011377590794
SEAT	Occ_name_word	elmo	cosine	template	word-average	1e-05	0.7178359231598106
SEAT	C1_name_word	bert	cosine	template	sent	1e-05	1.1733528402003326
SEAT	C1_name_word	bert	cosine	template	word-average	1e-05	1.0735168352591795
SEAT	C3_name_word	bert	cosine	template	sent	0.96694	-0.31099342884513237
SEAT	C3_name_word	bert	cosine	template	word-average	0.99205	-0.4075943253831301
SEAT	C9_name_word	bert	cosine	template	sent	0.02653	0.39528855940464314
SEAT	C9_name_word	bert	cosine	template	word-average	0.53485	-0.01778908054545919
SEAT	C9m_name_word	bert	cosine	template	sent	1e-05	0.9934187444248748
SEAT	C9m_name_word	bert	cosine	template	word-average	0.08961	0.27493385161634504
SEAT	C9_term_word	bert	cosine	template	sent	0.66622	-0.10946595769348556
SEAT	C9_term_word	bert	cosine	template	word-average	0.92585	-0.3627393102014143
SEAT	Occ_name_word	bert	cosine	template	sent	0.01941	0.28368183005271796
SEAT	Occ_name_word	bert	cosine	template	word-average	0.20679	0.11303976883256564
SEAT	C1_name_word	gpt2	cosine	template	sent	1e-05	0.8806655470762733
SEAT	C1_name_word	gpt2	cosine	template	word-average	1e-05	1.1765603576978374
SEAT	C3_name_word	gpt2	cosine	template	sent	0.19021	0.14850723625807638
SEAT	C3_name_word	gpt2	cosine	template	word-average	0.91683	-0.23585953278746838
SEAT	C9_name_word	gpt2	cosine	template	sent	0.979	-0.41097188610898483
SEAT	C9_name_word	gpt2	cosine	template	word-average	0.40456	0.04964102346407562
SEAT	C9m_name_word	gpt2	cosine	template	sent	0.93216	-0.30689460449744405
SEAT	C9m_name_word	gpt2	cosine	template	word-average	0.64374	-0.07632221012328981
SEAT	C9_term_word	gpt2	cosine	template	sent	0.9999	-0.8837095810584567
SEAT	C9_term_word	gpt2	cosine	template	word-average	0.99999	-0.9332619115897256
SEAT	Occ_name_word	gpt2	cosine	template	sent	0.0009	0.4292041052338
SEAT	Occ_name_word	gpt2	cosine	template	word-average	1e-05	0.7037966761787005
