method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
SEAT	C1_name_word	elmo	cosine	template	sent	1e-05	1.8146593581465384
SEAT	C1_name_word	elmo	cosine	template	word-average	1e-05	1.8619317450184094
SEAT	C3_term_word	elmo	cosine	template	sent	0.37161	0.1297831585997239
SEAT	C3_term_word	elmo	cosine	template	word-average	0.02774	0.7347901474932355
SEAT	C6_term_word	elmo	cosine	template	sent	0.11407	0.3930948868007004
SEAT	C6_term_word	elmo	cosine	template	word-average	0.07547	0.46611312993466114
SEAT	C9_name_word	elmo	cosine	template	sent	0.9832944832944833	-1.0390604566158095
SEAT	C9_name_word	elmo	cosine	template	word-average	1.0	-1.5676977472912068
SEAT	C9m_name_word	elmo	cosine	template	sent	0.9795648795648796	-1.0031484218583415
SEAT	C9m_name_word	elmo	cosine	template	word-average	1.0	-1.6945700719403107
SEAT	Occ_term_word	elmo	cosine	template	sent	1e-05	1.3565350093909228
SEAT	Occ_term_word	elmo	cosine	template	word-average	0.00044	1.0270488179751036
SEAT	C1_name_word	bert	cosine	template	sent	1e-05	1.5122924891440666
SEAT	C1_name_word	bert	cosine	template	word-average	1e-05	1.7955800789768495
SEAT	C3_term_word	bert	cosine	template	sent	0.84397	-0.4043850325720276
SEAT	C3_term_word	bert	cosine	template	word-average	0.9984	-1.0813220255862175
SEAT	C6_term_word	bert	cosine	template	sent	0.35093	0.12668171466857128
SEAT	C6_term_word	bert	cosine	template	word-average	0.09197	0.4356387643157794
SEAT	C9_name_word	bert	cosine	template	sent	0.190986790986791	0.4477167593780083
SEAT	C9_name_word	bert	cosine	template	word-average	0.13947163947163946	0.5567208051892052
SEAT	C9m_name_word	bert	cosine	template	sent	0.23543123543123542	0.36944900441536715
SEAT	C9m_name_word	bert	cosine	template	word-average	0.3968142968142968	0.14290280381069104
SEAT	Occ_term_word	bert	cosine	template	sent	0.03119	0.605474845405826
SEAT	Occ_term_word	bert	cosine	template	word-average	0.00034	1.0591788532665896
SEAT	C1_name_word	gpt2	cosine	template	sent	0.00051	1.1886741937528518
SEAT	C1_name_word	gpt2	cosine	template	word-average	1e-05	1.5880349975666233
SEAT	C3_term_word	gpt2	cosine	template	sent	0.24353	0.2762253632687233
SEAT	C3_term_word	gpt2	cosine	template	word-average	0.00048	1.2155595625288396
SEAT	C6_term_word	gpt2	cosine	template	sent	0.94464	-0.5166433871380545
SEAT	C6_term_word	gpt2	cosine	template	word-average	0.8784	-0.38159410410925293
SEAT	C9_name_word	gpt2	cosine	template	sent	0.5916083916083916	-0.10696614103949893
SEAT	C9_name_word	gpt2	cosine	template	word-average	0.0693084693084693	0.7448349309195769
SEAT	C9m_name_word	gpt2	cosine	template	sent	0.57000777000777	-0.08067880087107406
SEAT	C9m_name_word	gpt2	cosine	template	word-average	0.08243978243978244	0.7145518266580331
SEAT	Occ_term_word	gpt2	cosine	template	sent	0.06446	0.49383512935704793
SEAT	Occ_term_word	gpt2	cosine	template	word-average	0.10798	0.402716465648452
