method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cosine	template	sent	0.0	0.8340282263700723
CEAT	C1_name_word	elmo	cosine	template	word-average	0.0	0.7388746994215304
CEAT	C3_name_word	elmo	cosine	template	sent	0.0	0.28550424013613185
CEAT	C3_name_word	elmo	cosine	template	word-average	0.0	0.34488327021589277
CEAT	C6_name_word	elmo	cosine	template	sent	0.0	0.4951162378710059
CEAT	C6_name_word	elmo	cosine	template	word-average	0.0	0.5192351300074145
CEAT	C6_term_word	elmo	cosine	template	sent	0.0	0.36704443992470404
CEAT	C6_term_word	elmo	cosine	template	word-average	0.0	0.24523944174648918
CEAT	C9_name_word	elmo	cosine	template	sent	7.094450291124498e-189	-0.1660894385770648
CEAT	C9_name_word	elmo	cosine	template	word-average	0.0	-0.5718284941164145
CEAT	C9_term_word	elmo	cosine	template	sent	1.5578780970050742e-35	0.08882830371025711
CEAT	C9_term_word	elmo	cosine	template	word-average	0.0	0.44194528416826695
CEAT	C9m_name_word	elmo	cosine	template	sent	8.603210519737797e-95	-0.11806255912219833
CEAT	C9m_name_word	elmo	cosine	template	word-average	0.0	-0.1906593241693682
CEAT	Occ_name_word	elmo	cosine	template	sent	0.0	0.18247710413132168
CEAT	Occ_name_word	elmo	cosine	template	word-average	0.0	0.28407858960097637
CEAT	Occ_term_word	elmo	cosine	template	sent	0.0	0.3696422380294236
CEAT	Occ_term_word	elmo	cosine	template	word-average	0.0	0.4374628409320053
CEAT	C1_name_word	bert	cosine	template	sent	0.0	1.1281038162609105
CEAT	C1_name_word	bert	cosine	template	word-average	0.0	1.0725501253147693
CEAT	C3_name_word	bert	cosine	template	sent	0.0	-0.3597028973807445
CEAT	C3_name_word	bert	cosine	template	word-average	0.0	-0.3169757391628186
CEAT	C6_name_word	bert	cosine	template	sent	0.0	0.27963702851930783
CEAT	C6_name_word	bert	cosine	template	word-average	0.0	0.6662707055587186
CEAT	C6_term_word	bert	cosine	template	sent	0.0	0.23536848975844488
CEAT	C6_term_word	bert	cosine	template	word-average	0.0	0.1776123791153002
CEAT	C9_name_word	bert	cosine	template	sent	0.0	0.33131437340951725
CEAT	C9_name_word	bert	cosine	template	word-average	6.99874278649043e-08	-0.015596123127538964
CEAT	C9_term_word	bert	cosine	template	sent	1.2833479421776586e-35	-0.09430967259024607
CEAT	C9_term_word	bert	cosine	template	word-average	0.0	-0.332723320714933
CEAT	C9m_name_word	bert	cosine	template	sent	0.0	0.7086012145367268
CEAT	C9m_name_word	bert	cosine	template	word-average	0.0	0.2717563493952654
CEAT	Occ_name_word	bert	cosine	template	sent	0.0	0.16443785930313148
CEAT	Occ_name_word	bert	cosine	template	word-average	0.0	0.11726463624010536
CEAT	Occ_term_word	bert	cosine	template	sent	0.0	0.4599960814284918
CEAT	Occ_term_word	bert	cosine	template	word-average	0.0	0.7047496201491947
CEAT	C1_name_word	gpt2	cosine	template	sent	0.0	0.5384453219882632
CEAT	C1_name_word	gpt2	cosine	template	word-average	0.0	0.7866415774173547
CEAT	C3_name_word	gpt2	cosine	template	sent	3.700712571275023e-125	0.09619349448064765
CEAT	C3_name_word	gpt2	cosine	template	word-average	0.020463445859879963	0.009039885032960012
CEAT	C6_name_word	gpt2	cosine	template	sent	0.0	0.6161508615327068
CEAT	C6_name_word	gpt2	cosine	template	word-average	0.0	0.46146004790928175
CEAT	C6_term_word	gpt2	cosine	template	sent	2.945885826206786e-16	-0.03823301668251721
CEAT	C6_term_word	gpt2	cosine	template	word-average	5.463581988498907e-205	-0.15261516806146458
CEAT	C9_name_word	gpt2	cosine	template	sent	0.0	-0.3659840206706991
CEAT	C9_name_word	gpt2	cosine	template	word-average	2.9898440657632667e-22	0.04620245940260474
CEAT	C9_term_word	gpt2	cosine	template	sent	0.0	-0.8361596536667526
CEAT	C9_term_word	gpt2	cosine	template	word-average	0.0	-0.9168286322391024
CEAT	C9m_name_word	gpt2	cosine	template	sent	0.0	-0.26182804118769165
CEAT	C9m_name_word	gpt2	cosine	template	word-average	2.5575785001119833e-49	-0.06782286226984338
CEAT	Occ_name_word	gpt2	cosine	template	sent	0.0	0.34925219104828337
CEAT	Occ_name_word	gpt2	cosine	template	word-average	0.0	0.5743412548373075
CEAT	Occ_term_word	gpt2	cosine	template	sent	0.0	0.2500439883794663
CEAT	Occ_term_word	gpt2	cosine	template	word-average	0.0	0.4662671883443777
