method	test	model	evaluation_measure	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cosine	template	sent	0.0	1.4192750247333346
CEAT	C1_name_word	elmo	cosine	template	word-average	0.0	1.3402235845042796
CEAT	C3_term_word	elmo	cosine	template	sent	1.0874973960807291e-29	0.13774713128993052
CEAT	C3_term_word	elmo	cosine	template	word-average	3.6067473392466744e-128	0.4200188456824157
CEAT	C6_term_word	elmo	cosine	template	sent	0.0	0.2450282989523335
CEAT	C6_term_word	elmo	cosine	template	word-average	0.0	0.2376252374745595
CEAT	C9_name_word	elmo	cosine	template	sent	0.0	-0.4796896034082491
CEAT	C9_name_word	elmo	cosine	template	word-average	0.0	-1.2812680685173372
CEAT	C9m_name_word	elmo	cosine	template	sent	3.201487625879312e-197	-0.4740411348216883
CEAT	C9m_name_word	elmo	cosine	template	word-average	0.0	-1.3630170112940667
CEAT	Occ_term_word	elmo	cosine	template	sent	0.0	0.48868809585684614
CEAT	Occ_term_word	elmo	cosine	template	word-average	0.0	0.3828095439789536
CEAT	C1_name_word	bert	cosine	template	sent	0.0	1.2258048712049492
CEAT	C1_name_word	bert	cosine	template	word-average	0.0	1.2710951164062905
CEAT	C3_term_word	bert	cosine	template	sent	8.181168038255822e-71	-0.2364560902913166
CEAT	C3_term_word	bert	cosine	template	word-average	0.0	-0.795916448021475
CEAT	C6_term_word	bert	cosine	template	sent	1.1586965231055863e-57	0.11444538612336834
CEAT	C6_term_word	bert	cosine	template	word-average	1.1524943659171238e-294	0.2646947509852497
CEAT	C9_name_word	bert	cosine	template	sent	9.281501604231294e-82	0.3167834045055442
CEAT	C9_name_word	bert	cosine	template	word-average	9.319526524600413e-188	0.3195999594155271
CEAT	C9m_name_word	bert	cosine	template	sent	1.0958566598294783e-128	0.3114092357798177
CEAT	C9m_name_word	bert	cosine	template	word-average	0.5507094037995723	0.008761824944593858
CEAT	Occ_term_word	bert	cosine	template	sent	0.0	0.3637432821469549
CEAT	Occ_term_word	bert	cosine	template	word-average	0.0	0.7931151358854108
CEAT	C1_name_word	gpt2	cosine	template	sent	0.0	0.6217426903815868
CEAT	C1_name_word	gpt2	cosine	template	word-average	0.0	0.8627320619468616
CEAT	C3_term_word	gpt2	cosine	template	sent	1.5072003747751876e-104	0.24352759357041315
CEAT	C3_term_word	gpt2	cosine	template	word-average	0.0	0.7633926799419486
CEAT	C6_term_word	gpt2	cosine	template	sent	1.7749308335543304e-172	-0.20437554817606043
CEAT	C6_term_word	gpt2	cosine	template	word-average	0.0	-0.3300091206378939
CEAT	C9_name_word	gpt2	cosine	template	sent	1.0923640715746289e-60	-0.2378717605332559
CEAT	C9_name_word	gpt2	cosine	template	word-average	0.0	0.6544972737168946
CEAT	C9m_name_word	gpt2	cosine	template	sent	3.2247853643417506e-38	-0.24296229263362784
CEAT	C9m_name_word	gpt2	cosine	template	word-average	0.0	0.6225346284396426
CEAT	Occ_term_word	gpt2	cosine	template	sent	0.0	0.40215344583694096
CEAT	Occ_term_word	gpt2	cosine	template	word-average	0.0	0.36719570435762056
