method	test	model	evaluation_metric	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cos	template	word-average	0.0	0.9351985436164082
CEAT	C3_name_word	elmo	cos	template	word-average	0.0	0.3237519297253299
CEAT	C3_term_word	elmo	cos	template	word-average	4.606050726368302e-203	-0.06167860025726954
CEAT	C6_name_word	elmo	cos	template	word-average	0.0	0.6755642302266828
CEAT	C6_term_word	elmo	cos	template	word-average	0.0	0.3160945763933267
CEAT	C9_name_m_word	elmo	cos	template	word-average	1.2096843194936567e-24	-0.02750825263337607
CEAT	C9_name_word	elmo	cos	template	word-average	0.0	-0.22683267598910234
CEAT	C9_term_word	elmo	cos	template	word-average	0.0	0.7228532420536917
CEAT	Dis_term_m_word	elmo	cos	template	word-average	0.0	0.8557691286109765
CEAT	Dis_term_word	elmo	cos	template	word-average	0.0	0.866867160581207
CEAT	I1_name_word	elmo	cos	template	word-average	0.0	0.6199819098581302
CEAT	I1_term_word	elmo	cos	template	word-average	0.0	0.4469633447508025
CEAT	I2_name_word	elmo	cos	template	word-average	0.0	0.9940279417960606
CEAT	I2_term_word	elmo	cos	template	word-average	0.0	0.9147663858048277
CEAT	Occ_name_word	elmo	cos	template	word-average	0.0	0.5684382807283933
CEAT	Occ_term_word	elmo	cos	template	word-average	0.0	0.46722637166362796
CEAT	C1_name_word	bert	cos	template	word-average	0.0	0.9722034175781481
CEAT	C3_name_word	bert	cos	template	word-average	0.0	0.5530846175892016
CEAT	C3_term_word	bert	cos	template	word-average	0.0	-0.395127663089763
CEAT	C6_name_word	bert	cos	template	word-average	0.0	0.3029988446854362
CEAT	C6_term_word	bert	cos	template	word-average	0.0	0.12764253075319335
CEAT	C9_name_m_word	bert	cos	template	word-average	0.0	-0.12174790492239526
CEAT	C9_name_word	bert	cos	template	word-average	0.0	-0.10001594901026145
CEAT	C9_term_word	bert	cos	template	word-average	0.0	0.4301650175837744
CEAT	Dis_term_m_word	bert	cos	template	word-average	0.0	0.09560830107506749
CEAT	Dis_term_word	bert	cos	template	word-average	0.0	0.08298933908363469
CEAT	I1_name_word	bert	cos	template	word-average	0.0	1.4256300016524894
CEAT	I1_term_word	bert	cos	template	word-average	0.0	0.7899489935491945
CEAT	I2_name_word	bert	cos	template	word-average	0.0	1.342643234031104
CEAT	I2_term_word	bert	cos	template	word-average	0.0	0.814477560828348
CEAT	Occ_name_word	bert	cos	template	word-average	0.0	0.6583645188458411
CEAT	Occ_term_word	bert	cos	template	word-average	0.0	0.7249325166988785
CEAT	C1_name_word	gpt2	cos	template	word-average	0.0	0.48747488350528073
CEAT	C3_name_word	gpt2	cos	template	word-average	0.0	0.5511718582542233
CEAT	C3_term_word	gpt2	cos	template	word-average	0.0	0.16476699328843164
CEAT	C6_name_word	gpt2	cos	template	word-average	0.0	0.14891434508906481
CEAT	C6_term_word	gpt2	cos	template	word-average	0.0	-0.2139935399122083
CEAT	C9_name_m_word	gpt2	cos	template	word-average	0.0	-0.17570043956525114
CEAT	C9_name_word	gpt2	cos	template	word-average	0.0	-0.14602772159002975
CEAT	C9_term_word	gpt2	cos	template	word-average	0.0	-0.8713194410137257
CEAT	Dis_term_m_word	gpt2	cos	template	word-average	0.0	0.7605838381798843
CEAT	Dis_term_word	gpt2	cos	template	word-average	0.0	0.7643315367645557
CEAT	I1_name_word	gpt2	cos	template	word-average	0.0	-0.5285837486256965
CEAT	I1_term_word	gpt2	cos	template	word-average	0.0	-0.12984618633034126
CEAT	I2_name_word	gpt2	cos	template	word-average	0.0	-0.840425253290933
CEAT	I2_term_word	gpt2	cos	template	word-average	9.31964112253355e-256	-0.06041579162278041
CEAT	Occ_name_word	gpt2	cos	template	word-average	0.0	0.22630906230592537
CEAT	Occ_term_word	gpt2	cos	template	word-average	0.0	0.39967767490144457
